fire_id,fire_scene,poi_id,poi_type,poi_name,straight_dist_m,network_dist_m,travel_time_est_min,rank_network,rank_straight,solve_status,run_time
起火点编号,起火场景,POI编号,POI类别,POI名称,直线距离(米),路网距离(米),估算通行时间(分钟),按路网距离排序,按直线距离排序,求解状态,生成时间
1,厂房,1,政府,政府_1,6925.05,4058.784,6.088,1,11,ok,2026-05-18 23:04:06
1,厂房,2,医院,深圳前海泰康医院,2755.018,4778.035,7.167,2,1,ok,2026-05-18 23:04:06
1,厂房,3,医院,深圳南海中医医院,3846.43,6224.005,9.336,3,2,ok,2026-05-18 23:04:06
1,厂房,4,医院,深圳招商力宝太子湾医院,5177.957,6249.537,9.374,4,7,ok,2026-05-18 23:04:06
1,厂房,5,商场,K11 ECOAST,5739.648,7078.304,10.617,5,10,ok,2026-05-18 23:04:06
1,厂房,6,商场,万象前海,4474.537,7920.668,11.881,6,5,ok,2026-05-18 23:04:06
1,厂房,7,商场,前海壹方汇,4117.356,,,,3,unreachable,2026-05-18 23:04:06
1,厂房,9,商场,前海卓悦INTOWN购物中心,4292.193,,,,4,unreachable,2026-05-18 23:04:06
1,厂房,11,商场,海上世界·汇港购物中心(二期),5035.303,,,,6,unreachable,2026-05-18 23:04:06
1,厂房,10,商场,前海购物中心,5520.11,,,,8,unreachable,2026-05-18 23:04:06
1,厂房,8,商场,太子湾K11商场,5563.639,,,,9,unreachable,2026-05-18 23:04:06
3,住宅,1,政府,政府_1,6171.479,3005.789,4.509,1,11,ok,2026-05-18 23:04:06
3,住宅,2,医院,深圳前海泰康医院,2203.859,4258.408,6.388,2,1,ok,2026-05-18 23:04:06
3,住宅,3,医院,深圳南海中医医院,2748.993,4628.867,6.943,3,2,ok,2026-05-18 23:04:06
3,住宅,4,医院,深圳招商力宝太子湾医院,3627.851,5045.0,7.567,4,4,ok,2026-05-18 23:04:06
3,住宅,5,商场,K11 ECOAST,4181.953,5112.707,7.669,5,9,ok,2026-05-18 23:04:06
3,住宅,6,商场,万象前海,4162.917,6716.131,10.074,6,8,ok,2026-05-18 23:04:06
3,住宅,11,商场,海上世界·汇港购物中心(二期),3421.162,,,,3,unreachable,2026-05-18 23:04:06
3,住宅,7,商场,前海壹方汇,3862.981,,,,5,unreachable,2026-05-18 23:04:06
3,住宅,9,商场,前海卓悦INTOWN购物中心,3960.176,,,,6,unreachable,2026-05-18 23:04:06
3,住宅,8,商场,太子湾K11商场,4010.775,,,,7,unreachable,2026-05-18 23:04:06
3,住宅,10,商场,前海购物中心,4792.316,,,,10,unreachable,2026-05-18 23:04:06
4,企业楼,1,政府,政府_1,5561.046,2594.471,3.892,1,11,ok,2026-05-18 23:04:06
4,企业楼,2,医院,深圳前海泰康医院,1393.362,3380.538,5.071,2,1,ok,2026-05-18 23:04:06
4,企业楼,3,医院,深圳南海中医医院,2426.286,4785.224,7.178,3,2,ok,2026-05-18 23:04:06
4,企业楼,4,医院,深圳招商力宝太子湾医院,4506.38,5045.164,7.568,4,8,ok,2026-05-18 23:04:06
4,企业楼,5,商场,K11 ECOAST,5038.333,5899.463,8.849,5,10,ok,2026-05-18 23:04:06
4,企业楼,6,商场,万象前海,3275.518,6456.355,9.684,6,5,ok,2026-05-18 23:04:06
4,企业楼,7,商场,前海壹方汇,2944.392,,,,3,unreachable,2026-05-18 23:04:06
4,企业楼,9,商场,前海卓悦INTOWN购物中心,3078.715,,,,4,unreachable,2026-05-18 23:04:06
4,企业楼,11,商场,海上世界·汇港购物中心(二期),4047.104,,,,6,unreachable,2026-05-18 23:04:06
4,企业楼,10,商场,前海购物中心,4154.794,,,,7,unreachable,2026-05-18 23:04:06
4,企业楼,8,商场,太子湾K11商场,4877.851,,,,9,unreachable,2026-05-18 23:04:06
